Start,Duration,End,Type
9611614,600,9612214,MARK
9708372,8900,9717272,MARK
9717272,2200,9719472,SPACE
9719472,600,9720072,MARK
9816340,8900,9825240,MARK
9825240,2200,9827440,SPACE
9827440,600,9828040,MARK
9924260,8900,9933160,MARK
9933160,2250,9935410,SPACE
9935410,550,9935960,MARK
10032176,8900,10041076,MARK
10041076,2250,10043326,SPACE
10043326,550,10043876,MARK
10140348,8900,10149248,MARK
10149248,2250,10151498,SPACE
10151498,550,10152048,MARK
10248520,8900,10257420,MARK
10257420,2250,10259670,SPACE
10259670,550,10260220,MARK
10356644,8900,10365544,MARK
10365544,2250,10367794,SPACE
10367794,550,10368344,MARK
10464812,8900,10473712,MARK
10473712,2250,10475962,SPACE
10475962,550,10476512,MARK
10571924,8900,10580824,MARK
10580824,2250,10583074,SPACE
10583074,550,10583624,MARK
10680044,8900,10688944,MARK
10688944,2250,10691194,SPACE
10691194,550,10691744,MARK
10788216,8900,10797116,MARK
10797116,2250,10799366,SPACE
10799366,550,10799916,MARK
10896336,8900,10905236,MARK
10905236,2250,10907486,SPACE
10907486,550,10908036,MARK
11004504,8900,11013404,MARK
11013404,2250,11015654,SPACE
11015654,550,11016204,MARK
11112624,8900,11121524,MARK
11121524,2250,11123774,SPACE
11123774,550,11124324,MARK
11220748,8900,11229648,MARK
11229648,2250,11231898,SPACE
11231898,550,11232448,MARK
